date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2021-09-01,41965.0,32810850.0,460,439020,1643195.0,514404721.0,23775.90271207725,318.1294239148378,372755.85975764855
2021-09-02,47092.0,32857942.0,509,439529,,,23810.027241326483,318.49826332254736,
2021-09-03,45352.0,32903294.0,366,439895,,,23842.890905016942,318.7634798711165,
2021-09-04,42618.0,32945912.0,330,440225,1704970.0,516109691.0,23873.7734155823,319.0026095460559,373991.3413391074
2021-09-05,42766.0,32988678.0,308,440533,1818180.0,517927871.0,23904.763172183688,319.22579724266603,375308.8588917781
2021-09-06,38948.0,33027626.0,219,440752,1410649.0,519338520.0,23932.986270909565,319.38449239058036,376331.0650639708
2021-09-07,31222.0,33058848.0,290,441042,1720481.0,521059001.0,23955.610836700347,319.59463665037555,377577.7864647872
2021-09-08,37875.0,33096723.0,369,441411,1753745.0,522812746.0,23983.056401664984,319.86202710508053,378848.6121368375
2021-09-09,43263.0,33139986.0,338,441749,1874150.0,524686896.0,24014.40630204954,320.1069538630488,380206.68753164867
2021-09-10,34973.0,33174959.0,260,442009,1787611.0,526474507.0,24039.748975145467,320.2953590614859,381502.0537054308
2021-09-11,33376.0,33208335.0,308,442317,1592135.0,528066642.0,24063.93440554176,320.51854675809597,382655.7710539449
2021-09-12,28591.0,33236926.0,338,442655,1608840.0,529675482.0,24084.652455651438,320.7634735160642,383821.59343645856
2021-09-13,27254.0,33264180.0,219,442874,1208247.0,530883729.0,24104.401668259918,320.92216866397854,384697.131958751
2021-09-14,25404.0,33289584.0,339,443213,1430891.0,532314620.0,24122.810305417977,321.1678200573254,385734.0062002774
2021-09-15,27176.0,33316760.0,284,443497,1610829.0,533925449.0,24142.502996466927,321.373616504849,386901.2698825591
2021-09-16,30570.0,33347330.0,431,443928,1645933.0,535571382.0,24164.65509999086,321.68593435302745,388093.97116517136
2021-09-17,34403.0,33381733.0,320,444248,1527420.0,537098802.0,24189.584730920982,321.9178176741808,389200.79373515904
2021-09-18,35662.0,33417395.0,281,444529,1551124.0,538649926.0,24215.426677792766,322.1214402155686,390324.7930621612
2021-09-19,30773.0,33448168.0,309,444838,1559895.0,540209821.0,24237.725882298557,322.3453525475573,391455.14816606906
2021-09-20,30256.0,33478424.0,295,445133,1281598.0,541491419.0,24259.650450313606,322.55911998424557,392383.8394180175
2021-09-21,26115.0,33504539.0,252,445385,1413951.0,542905370.0,24278.574303225854,322.7417280996538,393408.43833623035
2021-09-22,26964.0,33531503.0,383,445768,1718565.0,544623935.0,24298.11337157454,323.01926344965926,394653.77133566135
2021-09-23,31923.0,33563426.0,282,446050,1612731.0,546236666.0,24321.245906765726,323.2236106264257,395822.4132744332
2021-09-24,31382.0,33594808.0,318,446368,1565696.0,547802362.0,24343.98641421708,323.4540446768218,396956.9719881723
2021-09-25,29616.0,33624424.0,290,446658,1728674.0,549531036.0,24365.447215589826,323.66418893661705,398209.6303266457
2021-09-26,28326.0,33652750.0,260,446918,1581862.0,551112898.0,24385.97323732417,323.8525941350541,399355.90349591535
2021-09-27,26041.0,33678791.0,276,447194,1165006.0,552277904.0,24404.843467218405,324.0525934995489,400200.10805980157
2021-09-28,18795.0,33697586.0,179,447373,1321780.0,553599684.0,24418.46298915927,324.1823032323191,401157.9166105331
2021-09-29,18870.0,33716456.0,378,447751,1720154.0,555319838.0,24432.136858753533,324.45621540543146,402404.4010555807
2021-09-30,23529.0,33739985.0,311,448062,1506254.0,556826092.0,24449.18680457671,324.6815770081774,403495.8859931449
2021-10-01,26727.0,33766712.0,277,448339,1520899.0,558346991.0,24468.554134340666,324.8823010080508,404597.9832158287
2021-10-02,24354.0,33791066.0,234,448573,1517652.0,559864643.0,24486.201904351194,325.0518656866442,405697.7275474382
2021-10-03,22842.0,33813908.0,244,448817,1265734.0,561130377.0,24502.754025669274,325.2286767190236,406614.92318374047
2021-10-04,20799.0,33834707.0,180,448997,991676.0,562122053.0,24517.825716908865,325.3591110871724,407333.5266974532
2021-10-05,18346.0,33853053.0,263,449260,1141642.0,563263695.0,24531.119877564735,325.5496901917453,408160.8008803537
2021-10-06,18833.0,33871886.0,278,449538,1409825.0,564673520.0,24544.76693564999,325.7511388269973,409182.40995299444
2021-10-07,22431.0,33894317.0,318,449856,1853617.0,566527137.0,24561.021231827464,325.98157287739343,410525.6064095767
2021-10-08,21257.0,33915574.0,271,450127,1385706.0,567912843.0,24576.424806070452,326.1779490649952,411529.7380015209
2021-10-09,19740.0,33935314.0,248,450375,1269291.0,569182134.0,24590.729108444102,326.35765863888906,412449.5111658649
2021-10-10,18166.0,33953480.0,214,450589,1283212.0,570465346.0,24603.892834731825,326.51273060991036,413379.3719793144
2021-10-11,18132.0,33971612.0,193,450782,1035797.0,571501143.0,24617.03192341668,326.652585237981,414129.9471305665
2021-10-12,14313.0,33985925.0,181,450963,1406553.0,572907696.0,24627.40362959064,326.7837442415083,415149.18519624847
2021-10-13,15823.0,34001748.0,226,451189,1325399.0,574233095.0,24638.869535186295,326.9475118370729,416109.6162024152
2021-10-14,18987.0,34020735.0,246,451435,1301083.0,575534178.0,24652.628187119855,327.12577214020956,417052.4269747157
2021-10-15,16862.0,34037597.0,379,451814,1180148.0,576714326.0,24664.84698887388,327.40040894870054,417907.6039675048
2021-10-16,15981.0,34053578.0,166,451980,990585.0,577704911.0,24676.427386859355,327.52069842154884,418625.4169040195
2021-10-17,14146.0,34067724.0,144,452124,1100123.0,578805034.0,24686.67807892509,327.62504591606785,419422.6049506357
2021-10-18,13596.0,34081320.0,166,452290,989493.0,579794527.0,24696.530221532594,327.74533538891615,420139.62658531696
2021-10-19,13058.0,34094378.0,164,452454,1181314.0,580975841.0,24705.99251030641,327.86417559100727,420995.6485029575
2021-10-20,14623.0,34109001.0,197,452651,1323702.0,582299543.0,24716.588853447738,328.0069287605923,421954.84980288666
2021-10-21,18454.0,34127455.0,160,452811,1312328.0,583611871.0,24729.9612747245,328.122870421169,422905.80910001963
2021-10-22,15786.0,34143241.0,231,453042,1324263.0,584936134.0,24741.400368811148,328.2902611936266,423865.4169203962
2021-10-23,16326.0,34159567.0,666,453708,1364681.0,586300815.0,24753.23076600224,328.772868355777,424854.31305350526
2021-10-24,15906.0,34175473.0,561,454269,1340158.0,587640973.0,24764.75681633432,329.179388803174,425825.4389532248
2021-10-25,14306.0,34189779.0,443,454712,998397.0,588639370.0,24775.12345006063,329.5004022758957,426548.9127413171
2021-10-26,12428.0,34202207.0,356,455068,1131826.0,589771196.0,24784.129218545924,329.7583724706788,427369.07390334125
2021-10-27,13451.0,34215658.0,585,455653,1305962.0,591077158.0,24793.87628902353,330.18228416716227,428315.420171654
2021-10-28,16156.0,34231814.0,733,456386,1290900.0,592368058.0,24805.58349820026,330.7134418996792,429250.85198189423
2021-10-29,14348.0,34246162.0,805,457191,1387364.0,593755422.0,24815.980566612474,331.2967733794556,430256.1850192961
2021-10-30,14313.0,34260475.0,549,457740,1176850.0,594932272.0,24826.352272786437,331.69459820230935,431108.97216460656
2021-10-31,12830.0,34273305.0,446,458186,1257296.0,596189568.0,24835.64934469393,332.01778558116683,432020.0533275842
2021-11-01,12514.0,34285819.0,251,458437,881379.0,597070947.0,24844.717431821784,332.1996690611965,432658.73173294304
2021-11-02,10423.0,34296242.0,443,458880,1009045.0,598079992.0,24852.270306372975,332.5206825339182,433389.92143854673
2021-11-03,11903.0,34308145.0,311,459191,1068514.0,599148506.0,24860.895641284504,332.7460441366641,434164.2044854807
2021-11-04,12885.0,34321030.0,461,459652,1067914.0,600216420.0,24870.232568137817,333.08010104620064,434938.05275118747
2021-11-05,12729.0,34333759.0,221,459873,670847.0,600887267.0,24879.456451872073,333.2402454648722,435424.172221018
2021-11-06,10929.0,34344688.0,392,460265,948137.0,601835404.0,24887.375991924837,333.52430253328504,436111.22583498165
2021-11-07,10853.0,34355541.0,526,460791,919996.0,602755400.0,24895.24045968883,333.9054607424309,436777.88748475607
2021-11-08,11451.0,34366992.0,266,461057,1186202.0,603941602.0,24903.538259409226,334.09821375313965,437637.4514201272
2021-11-09,10126.0,34377118.0,332,461389,1151982.0,605093584.0,24910.87591725297,334.33879269883624,438472.21833284246
2021-11-10,11466.0,34388584.0,460,461849,1278728.0,606372312.0,24919.18458650405,334.6721249729942,439398.82988125435
2021-11-11,13091.0,34401675.0,340,462189,1399405.0,607771717.0,24928.67078824536,334.9185010017196,440412.88825325
2021-11-12,12516.0,34414191.0,501,462690,1165286.0,608937003.0,24937.740324643968,335.28154332640037,441257.2957150422
2021-11-13,11850.0,34426041.0,555,463245,1266589.0,610203592.0,24946.32725388043,335.6837159615257,442175.1109145932
2021-11-14,11271.0,34437312.0,285,463530,1417405.0,611620997.0,24954.49461923268,335.8902370444279,443202.21272340376
2021-11-15,10229.0,34447541.0,125,463655,915198.0,612536195.0,24961.90691452042,335.9808164667535,443865.3975726316
2021-11-16,8865.0,34456406.0,197,463852,1107617.0,613643812.0,24968.330807151746,336.1235696363385,444668.01603677514
2021-11-17,10197.0,34466603.0,301,464153,1242177.0,614885989.0,24975.719914107376,336.3416848852984,445568.14143746364
2021-11-18,11919.0,34478522.0,470,464623,1232505.0,616118494.0,24984.35684318496,336.6822635132424,446461.25816477026
2021-11-19,11106.0,34489628.0,459,465082,1138699.0,617257193.0,24992.404643699738,337.0148711520217,447286.3997457515
2021-11-20,10302.0,34499930.0,267,465349,1187739.0,618444932.0,24999.86983737012,337.20834879810906,448147.07744569954
2021-11-21,10488.0,34510418.0,313,465662,1074099.0,619519031.0,25007.46981322092,337.4351596716122,448925.407581223
2021-11-22,8488.0,34518906.0,249,465911,874881.0,620393912.0,25013.620518314514,337.61559388088466,449559.37730589166
2021-11-23,7579.0,34526485.0,236,466147,964980.0,621358892.0,25019.112529848953,337.78660783023525,450258.6359535372
2021-11-24,9283.0,34535768.0,437,466584,1284986.0,622643878.0,25025.83932006854,338.1032734906853,451189.78227014834
2021-11-25,9119.0,34544887.0,396,466980,1150538.0,623794416.0,25032.447270086028,338.3902291006126,452023.5028093769
2021-11-26,10549.0,34555436.0,488,467468,1181246.0,624975662.0,25040.091448694926,338.7438511653715,452879.4754518117
2021-11-27,8318.0,34563754.0,465,467933,1141880.0,626117542.0,25046.118965774156,339.0808066164225,453706.9220979323
2021-11-28,8774.0,34572528.0,621,468554,1179373.0,627296915.0,25052.47691658603,339.5308051865357,454561.53749830293
2021-11-29,8309.0,34580837.0,236,468790,864063.0,628160978.0,25058.49791194685,339.7018191358863,455187.6681174459
2021-11-30,6990.0,34587827.0,190,468980,1012523.0,629173501.0,25063.563113243297,339.8394998578211,455921.3781048964
2021-12-01,8954.0,34596781.0,267,469247,1108467.0,630281968.0,25070.05149842332,340.03297750390846,456724.6125091117
2021-12-02,9765.0,34606546.0,477,469724,1098611.0,631380579.0,25077.127562895388,340.3786285795027,457520.7049070355
2021-12-03,9216.0,34615762.0,391,470115,1157156.0,632537735.0,25083.805802544604,340.66196101253695,458359.22108319966
2021-12-04,8603.0,34624365.0,415,470530,1358704.0,633896439.0,25090.039840706737,340.9626846946577,459343.7860706508
2021-12-05,8895.0,34633260.0,2796,473326,1226064.0,635122503.0,25096.48547239942,342.9887652132352,460232.2354214838
2021-12-06,8306.0,34641566.0,211,473537,1006217.0,636128720.0,25102.50429385411,343.1416632781207,460961.37585823686
2021-12-07,6822.0,34648388.0,220,473757,1187947.0,637316667.0,25107.44775640695,343.3010830614136,461822.2042823436
2021-12-08,8439.0,34656827.0,195,473952,1213130.0,638529797.0,25113.56295436699,343.44238696024144,462701.28119918983
2021-12-09,9419.0,34666246.0,159,474111,1289983.0,639819780.0,25120.38829499806,343.5576039854395,463636.04851878784
2021-12-10,8503.0,34674749.0,624,474735,1293412.0,641113192.0,25126.549869622333,344.00977646168855,464573.3006130991
2021-12-11,7992.0,34682741.0,393,475128,1383761.0,642496953.0,25132.34115556814,344.29455816548005,465576.0227892319
2021-12-12,7774.0,34690515.0,306,475434,1189459.0,643686412.0,25137.97447100141,344.51629659133295,466437.9468620312
2021-12-13,7350.0,34697865.0,202,475636,855692.0,644542104.0,25143.30054103415,344.662672937811,467058.0115584198
2021-12-14,5784.0,34703649.0,252,475888,990482.0,645532586.0,25147.491832064,344.84528105321925,467775.7498574905
2021-12-15,6984.0,34710633.0,247,476135,1184883.0,646717469.0,25152.55268554817,345.0242659917345,468634.3579987972
2021-12-16,7974.0,34718607.0,343,476478,1399946.0,648117415.0,25158.33092805716,345.2728159265958,469648.80839853274
2021-12-17,7447.0,34726054.0,391,476869,1259932.0,649377347.0,25163.727287721627,345.55614835963,470561.79970036837
2021-12-18,7145.0,34733199.0,289,477158,1389694.0,650767041.0,25168.904807501753,345.76556798404664,471568.8211382024
2021-12-19,7081.0,34740280.0,264,477422,1211977.0,651979018.0,25174.03595061765,345.9568717239982,472447.062550457
2021-12-20,6563.0,34746843.0,132,477554,1003215.0,652982233.0,25178.791732607428,346.05252359397394,473174.02763180353
2021-12-21,5326.0,34752169.0,453,478007,1014079.0,653996312.0,25182.651140633876,346.3807834204817,473908.8651519031
2021-12-22,6317.0,34758486.0,318,478325,1229512.0,655225824.0,25187.22866232052,346.6112174708778,474799.8130455216
2021-12-23,7495.0,34765981.0,434,478759,1287758.0,656513582.0,25192.65980448316,346.92570922519207,475732.96805140225
2021-12-24,6650.0,34772631.0,374,479133,1165887.0,657679469.0,25197.478629750876,347.1967228567901,476577.811019057
2021-12-25,7189.0,34779820.0,387,479520,1241811.0,658921280.0,25202.688033487662,347.4771567483099,477477.6712031969
2021-12-26,6987.0,34786807.0,162,479682,945455.0,659866735.0,25207.75106087797,347.59454767964377,478162.78134507523
2021-12-27,6531.0,34793338.0,315,479997,939539.0,660806274.0,25212.483654535634,347.8228078239041,478843.60454405367
2021-12-28,6358.0,34799696.0,293,480290,1141910.0,661948184.0,25217.0908862728,348.0351259898352,479671.07292923564
2021-12-29,9195.0,34808891.0,302,480592,1167612.0,663115796.0,25223.753908579067,348.2539658741737,480517.16589291854
2021-12-30,13154.0,34822045.0,268,480860,1199252.0,664315048.0,25233.285762349227,348.44816815563956,481386.1863199804
2021-12-31,16764.0,34838809.0,220,481080,1432860.0,665747908.0,25245.433549836147,348.6075879389325,482424.4873685673
2022-01-01,22775.0,34861584.0,406,481486,1110855.0,666858763.0,25261.937120583858,348.9017899026459,483229.4522020667
2022-01-02,27553.0,34889137.0,284,481770,1082376.0,667941139.0,25281.902999170543,349.10758635016947,484013.7801446189
2022-01-03,33750.0,34922887.0,123,481893,878990.0,668820129.0,25306.359443198435,349.1967165017378,484650.7273960582
2022-01-04,37379.0,34960266.0,124,482017,1478119.0,670298248.0,25333.445589015286,349.2865712886847,485721.82471724536
2022-01-05,58097.0,35018363.0,534,482551,1388647.0,671686895.0,25375.544730606056,349.6735265808594,486728.08746183803
2022-01-06,90928.0,35109291.0,325,482876,1488509.0,673175404.0,25441.434376311783,349.90903307890574,487806.71374460886
2022-01-07,117100.0,35226391.0,302,483178,1513377.0,674688781.0,25526.28917914634,350.1278729632443,488903.36025997484
2022-01-08,141986.0,35368377.0,285,483463,1651831.0,676340612.0,25629.17725801284,350.33439404614643,490100.33544205007
2022-01-09,159632.0,35528009.0,327,483790,1563566.0,677904178.0,25744.852252770197,350.57134981495005,491233.3506824328
2022-01-10,179723.0,35707732.0,146,483936,1540827.0,679445005.0,25875.08589691909,350.6771465802263,492349.88843894145
2022-01-11,168063.0,35875795.0,277,484213,1579928.0,681024933.0,25996.870292553456,350.8778705800996,493494.7601633889
2022-01-12,194720.0,36070515.0,442,484655,2119100.0,683144033.0,26137.971293475275,351.1981594174427,495030.33499418915
2022-01-13,247417.0,36317932.0,380,485035,,,26317.2584049434,351.47352086131235,
2022-01-14,264202.0,36582134.0,315,485350,,,26508.708521241402,351.7017810055727,
2022-01-15,268833.0,36850967.0,402,485752,1613740.0,684757773.0,26703.51442397772,351.9930844277716,496199.708090058
2022-01-16,271202.0,37122169.0,314,486066,1736014.0,686493787.0,26900.03698792595,352.2206199366533,497457.68525221024
2022-01-17,258089.0,37380258.0,385,486451,1313444.0,687807231.0,27087.05740815454,352.499604557416,498409.45324242575
2022-01-18,238018.0,37618276.0,310,486761,1649143.0,689456374.0,27259.533671699166,352.7242415247833,499604.4806046033
2022-01-19,282970.0,37901246.0,441,487202,2010225.0,691466599.0,27464.583744782813,353.04380572674773,501061.160758558
2022-01-20,317532.0,38218778.0,491,487693,1935180.0,693401779.0,27694.678665821775,353.3996016976424,502463.4606505254
2022-01-21,347254.0,38566032.0,703,488396,2182108.0,695583887.0,27946.311199583615,353.90902036880124,504044.69330726075
2022-01-22,337704.0,38903736.0,488,488884,1960954.0,697544841.0,28191.023465479786,354.2626424335601,505465.6699514763
2022-01-23,333533.0,39237269.0,525,489409,2020688.0,699565529.0,28432.7132772118,354.64307600732735,506929.9319653973
2022-01-24,306064.0,39543333.0,439,489848,1474753.0,701040282.0,28654.498079728928,354.96119093853457,507998.5901639001
2022-01-25,255874.0,39799207.0,614,490462,1807100.0,702847382.0,28839.913432593912,355.4061170609976,509308.0787565758
2022-01-26,285914.0,40085121.0,665,491127,1769745.0,704617127.0,29047.096832232168,355.8879995877694,510590.4985946838
2022-01-27,286384.0,40371505.0,573,491700,1594070.0,706211197.0,29254.620810498367,356.3032156597097,511745.6181126555
2022-01-28,251209.0,40622714.0,627,492327,1582307.0,707793504.0,29436.655739322163,356.75756204209455,512892.21374466864
2022-01-29,235532.0,40858246.0,871,493198,2026150.0,709819654.0,29607.33055931558,357.38871945685884,514360.43371702766
2022-01-30,234281.0,41092527.0,893,494091,1615993.0,711435647.0,29777.098860450362,358.0358188499524,515531.43941640446
2022-01-31,209918.0,41302445.0,959,495050,1607115.0,713042762.0,29929.21286985621,358.7307441780339,516696.01180289005
2022-02-01,167059.0,41469504.0,1192,496242,1699380.0,714742142.0,30050.269731570454,359.59450954933016,517927.4426725825
2022-02-02,161386.0,41630890.0,1733,497975,1742793.0,716484935.0,30167.21573678188,360.85030266045135,519190.33213796635
2022-02-03,172433.0,41803323.0,1008,498983,1752628.0,718237563.0,30292.166789020746,361.58073512208443,520460.3483922988
2022-02-04,149394.0,41952717.0,1072,500055,1611666.0,719849229.0,30400.42296677195,362.35754424794817,521628.21859439235
2022-02-05,127952.0,42080669.0,1059,501114,2127953.0,721977182.0,30493.14151273512,363.12493311389005,523170.2086221994
2022-02-06,107474.0,42188143.0,865,501979,2254908.0,724232090.0,30571.020975415235,363.75174271638275,524804.1947344971
2022-02-07,83876.0,42272019.0,895,502874,1374446.0,725606536.0,30631.800492431044,364.40029138023357,525800.1669320783
2022-02-08,67597.0,42339616.0,1188,504062,1346534.0,726953070.0,30680.783670118555,365.2611582100154,526775.9131069718
2022-02-09,71365.0,42410981.0,1217,505279,1776629.0,728729699.0,30732.497273912646,366.1430394657768,528063.3213350261
2022-02-10,67084.0,42478065.0,1241,506520,1511321.0,730241020.0,30781.108713650934,367.04231197062467,529158.4780000536
2022-02-11,58077.0,42536142.0,657,507177,1673976.0,731914996.0,30823.193362534133,367.51839741436766,530371.500232588
2022-02-12,50407.0,42586549.0,804,507981,1450532.0,733365528.0,30859.720058063438,368.10100425876544,531422.6070375856
2022-02-13,44877.0,42631426.0,684,508665,1415279.0,734780807.0,30892.23951994906,368.59665485773075,532448.1682715813
2022-02-14,34113.0,42665539.0,346,509011,1067908.0,735848715.0,30916.95900661939,368.8473786987278,533222.0121894757
2022-02-15,27409.0,42692948.0,347,509358,1229536.0,737078251.0,30936.820537711552,369.0988271751035,534112.9774743433
2022-02-16,30615.0,42723563.0,514,509872,1251677.0,738329928.0,30959.00524982752,369.4712897597061,535019.9869111285
2022-02-17,30757.0,42754320.0,541,510413,1247481.0,739577409.0,30981.292860167254,369.863317499531,535923.9557778651
